date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
6/3/2022,Croatia,Austria,0,3,UEFA Nations League,Osijek,Croatia,FALSE
6/3/2022,France,Denmark,1,2,UEFA Nations League,Paris,France,FALSE
6/3/2022,Belgium,Netherlands,1,4,UEFA Nations League,Brussels,Belgium,FALSE
6/3/2022,Kazakhstan,Azerbaijan,2,0,UEFA Nations League,Nur-Sultan,Kazakhstan,FALSE
6/4/2022,Hungary,England,1,0,UEFA Nations League,Budapest,Hungary,FALSE
6/4/2022,Italy,Germany,1,1,UEFA Nations League,Bologna,Italy,FALSE
6/4/2022,Finland,Bosnia and Herzegovina,1,1,UEFA Nations League,Helsinki,Finland,FALSE
6/4/2022,Montenegro,Romania,2,0,UEFA Nations League,Podgorica,Montenegro,FALSE
6/4/2022,Lithuania,Luxembourg,0,2,UEFA Nations League,Vilnius,Lithuania,FALSE
6/4/2022,Turkey,Faroe Islands,4,0,UEFA Nations League,Istanbul,Turkey,FALSE
6/5/2022,Wales,Ukraine,1,0,FIFA World Cup qualification,Cardiff,Wales,FALSE
6/5/2022,Portugal,Switzerland,4,0,UEFA Nations League,Lisbon,Portugal,FALSE
6/5/2022,Czech Republic,Spain,2,2,UEFA Nations League,Prague,Czech Republic,FALSE
6/5/2022,Serbia,Slovenia,4,1,UEFA Nations League,Belgrade,Serbia,FALSE
6/5/2022,Kosovo,Greece,0,1,UEFA Nations League,Pristina,Kosovo,FALSE
6/5/2022,Bulgaria,Georgia,2,5,UEFA Nations League,Razgrad,Bulgaria,FALSE
6/5/2022,Argentina,Estonia,5,0,Friendly,Pamplona,Spain,TRUE
6/6/2022,Austria,Denmark,1,2,UEFA Nations League,Vienna,Austria,FALSE
6/6/2022,Croatia,France,1,1,UEFA Nations League,Split,Croatia,FALSE
6/6/2022,Iceland,Albania,1,1,UEFA Nations League,Reykjavík,Iceland,FALSE
6/6/2022,Slovakia,Kazakhstan,0,1,UEFA Nations League,Trnava,Slovakia,FALSE
6/7/2022,Germany,England,1,1,UEFA Nations League,Munich,Germany,FALSE
6/7/2022,Italy,Hungary,2,1,UEFA Nations League,Cesena,Italy,FALSE
6/7/2022,Bosnia and Herzegovina,Romania,1,0,UEFA Nations League,Zenica,Bosnia and Herzegovina,FALSE
6/7/2022,Faroe Islands,Luxembourg,0,1,UEFA Nations League,Tórshavn,Faroe Islands,FALSE
6/7/2022,Lithuania,Turkey,0,6,UEFA Nations League,Vilnius,Lithuania,FALSE
6/8/2022,Wales,Netherlands,1,2,UEFA Nations League,Cardiff,Wales,FALSE
6/8/2022,Republic of Ireland,Ukraine,0,1,UEFA Nations League,Dublin,Republic of Ireland,FALSE
6/8/2022,Scotland,Armenia,2,0,UEFA Nations League,Glasgow,Scotland,FALSE
6/9/2022,Portugal,Czech Republic,2,0,UEFA Nations League,Lisbon,Portugal,FALSE
6/9/2022,Switzerland,Spain,0,1,UEFA Nations League,Geneva,Switzerland,FALSE
6/9/2022,Sweden,Serbia,0,1,UEFA Nations League,Stockholm,Sweden,FALSE
6/9/2022,Greece,Cyprus,3,0,UEFA Nations League,Vólos,Greece,FALSE
6/9/2022,North Macedonia,Georgia,0,3,UEFA Nations League,Skopje,North Macedonia,FALSE
6/9/2022,Malta,Estonia,1,2,UEFA Nations League,Ta' Qali,Malta,FALSE
6/9/2022,San Marino,Iceland,0,1,Friendly,Serravalle,San Marino,FALSE
6/10/2022,Austria,France,1,1,UEFA Nations League,Vienna,Austria,FALSE
6/10/2022,Denmark,Croatia,0,1,UEFA Nations League,Copenhagen,Denmark,FALSE
6/10/2022,Albania,Israel,1,2,UEFA Nations League,Tirana,Albania,FALSE
6/10/2022,Belarus,Kazakhstan,1,1,UEFA Nations League,Novi Sad,Serbia,TRUE
6/11/2022,England,Italy,0,0,UEFA Nations League,Wolverhampton,England,FALSE
6/11/2022,Hungary,Germany,1,1,UEFA Nations League,Budapest,Hungary,FALSE
6/11/2022,Wales,Belgium,1,1,UEFA Nations League,Cardiff,Wales,FALSE
6/11/2022,Netherlands,Poland,2,2,UEFA Nations League,Rotterdam,Netherlands,FALSE
6/11/2022,Ukraine,Armenia,3,0,UEFA Nations League,Łódź,Poland,TRUE
6/11/2022,Republic of Ireland,Scotland,3,0,UEFA Nations League,Dublin,Republic of Ireland,FALSE
6/11/2022,Montenegro,Bosnia and Herzegovina,1,1,UEFA Nations League,Podgorica,Montenegro,FALSE
6/11/2022,Romania,Finland,1,0,UEFA Nations League,Bucharest,Romania,FALSE
6/11/2022,Luxembourg,Turkey,0,2,UEFA Nations League,Luxembourg,Luxembourg,FALSE
6/12/2022,Spain,Czech Republic,2,0,UEFA Nations League,Málaga,Spain,FALSE
